"","language","year","enrollment"
"1","All","1965",1034651
"2","Arabic","1965",911
"3","Chinese","1965",3359
"4","French","1965",371747
"5","German","1965",213909
"6","Greek","1965",19495
"7","Hebrew","1965",8093
"8","Italian","1965",22950
"9","Japanese","1965",3505
"10","Korean","1965",82
"11","Latin","1965",38038
"12","Portuguese","1965",3040
"13","Russian","1965",33818
"14","Spanish","1965",310012
"15","Other languages","1965",5692
"16","All","1970",1153239
"17","Arabic","1970",1324
"18","Chinese","1970",6265
"19","French","1970",358494
"20","German","1970",201766
"21","Greek","1970",16543
"22","Hebrew","1970",16567
"23","Italian","1970",34236
"24","Japanese","1970",6620
"25","Korean","1970",101
"26","Latin","1970",28422
"27","Portuguese","1970",5065
"28","Russian","1970",36369
"29","Spanish","1970",386617
"30","Other languages","1970",54850
"31","All","1974",946310
"32","Arabic","1974",2034
"33","Chinese","1974",10662
"34","French","1974",253135
"35","German","1974",152113
"36","Greek","1974",24283
"37","Hebrew","1974",22371
"38","Italian","1974",33048
"39","Japanese","1974",9604
"40","Korean","1974",87
"41","Latin","1974",25167
"42","Portuguese","1974",5072
"43","Russian","1974",32522
"44","Spanish","1974",361911
"45","Other languages","1974",14301
"46","All","1980",924337
"47","Arabic","1980",3471
"48","Chinese","1980",11405
"49","French","1980",248303
"50","German","1980",127015
"51","Greek","1980",22132
"52","Hebrew","1980",19290
"53","Italian","1980",34793
"54","Japanese","1980",11516
"55","Korean","1980",365
"56","Latin","1980",25019
"57","Portuguese","1980",4894
"58","Russian","1980",23987
"59","Spanish","1980",378952
"60","Other languages","1980",13195
"61","All","1986",1003173
"62","Arabic","1986",3417
"63","Chinese","1986",17002
"64","French","1986",275132
"65","German","1986",120920
"66","Greek","1986",17806
"67","Hebrew","1986",15669
"68","Italian","1986",40904
"69","Japanese","1986",23454
"70","Korean","1986",875
"71","Latin","1986",25038
"72","Portuguese","1986",5071
"73","Russian","1986",33945
"74","Spanish","1986",411376
"75","Other languages","1986",12564
"76","All","1990",1185465
"77","American Sign Language","1990",1602
"78","Arabic","1990",3683
"79","Chinese","1990",19510
"80","French","1990",273116
"81","German","1990",133594
"82","Greek","1990",16414
"83","Hebrew","1990",12966
"84","Italian","1990",49824
"85","Japanese","1990",45830
"86","Korean","1990",2375
"87","Latin","1990",28178
"88","Portuguese","1990",6118
"89","Russian","1990",44476
"90","Spanish","1990",534143
"91","Other languages","1990",13636
"92","All","1995",1138772
"93","American Sign Language","1995",4304
"94","Arabic","1995",4444
"95","Chinese","1995",26504
"96","French","1995",205351
"97","German","1995",96263
"98","Greek","1995",16272
"99","Hebrew","1995",13083
"100","Italian","1995",43760
"101","Japanese","1995",44723
"102","Korean","1995",3343
"103","Latin","1995",25897
"104","Portuguese","1995",6531
"105","Russian","1995",24729
"106","Spanish","1995",606286
"107","Other languages","1995",17282
"108","All","2002",1395807
"109","American Sign Language","2002",60781
"110","Arabic","2002",10584
"111","Chinese","2002",34333
"112","French","2002",201985
"113","German","2002",91100
"114","Greek","2002",20376
"115","Hebrew","2002",22774
"116","Italian","2002",63899
"117","Japanese","2002",52238
"118","Korean","2002",5211
"119","Latin","2002",29841
"120","Portuguese","2002",8385
"121","Russian","2002",23921
"122","Spanish","2002",745215
"123","Other languages","2002",25164
"124","All","2006",1575838
"125","American Sign Language","2006",79744
"126","Arabic","2006",23987
"127","Chinese","2006",51560
"128","French","2006",206019
"129","German","2006",94146
"130","Greek","2006",22827
"131","Hebrew","2006",23739
"132","Italian","2006",78176
"133","Japanese","2006",65410
"134","Korean","2006",7146
"135","Latin","2006",32164
"136","Portuguese","2006",10310
"137","Russian","2006",24784
"138","Spanish","2006",822148
"139","Other languages","2006",33678
"140","All","2009",1673566
"141","American Sign Language","2009",92068
"142","Arabic","2009",34908
"143","Chinese","2009",61797
"144","French","2009",215244
"145","German","2009",95613
"146","Greek","2009",20033
"147","Hebrew","2009",22665
"148","Italian","2009",80322
"149","Japanese","2009",72357
"150","Korean","2009",8449
"151","Latin","2009",32446
"152","Portuguese","2009",11273
"153","Russian","2009",26740
"154","Spanish","2009",861015
"155","Other languages","2009",38636
"156","All","2013",1561131
"157","American Sign Language","2013",109651
"158","Arabic","2013",32855
"159","Chinese","2013",62280
"160","French","2013",197679
"161","German","2013",86782
"162","Greek","2013",12848
"163","Hebrew","2013",19824
"164","Italian","2013",70982
"165","Japanese","2013",66771
"166","Korean","2013",12256
"167","Latin","2013",27209
"168","Portuguese","2013",12407
"169","Russian","2013",21979
"170","Spanish","2013",789888
"171","Other languages","2013",37720
"172","All","2016",1418206
"173","American Sign Language","2016",107399
"174","Arabic","2016",31165
"175","Chinese","2016",54515
"176","French","2016",175667
"177","German","2016",80594
"178","Greek","2016",10684
"179","Hebrew","2016",15500
"180","Italian","2016",56743
"181","Japanese","2016",68810
"182","Korean","2016",13936
"183","Latin","2016",24866
"184","Portuguese","2016",9827
"185","Russian","2016",20353
"186","Spanish","2016",712608
"187","Other languages","2016",35539
